permit_number,streetname,cross_street_1,cross_street_2,utility_contractor,permit_reason,utility_type,effective_date,expiration_date,status,cnn
23EXC-01009,LAGUNA ST,GOLDEN GATE AVE,TURK ST,Bay Area Lightworks,Place Conduit,Sidewalk/Curb:Traffic Signal:Street Light:Curb Ramp,2023-06-19T00:00:00.000,2025-06-17T00:00:00.000,APPROVED,7957000
24EXC-02284,HAMPSHIRE ST,17TH ST,MARIPOSA ST,Michael O'Shaugnessy Construction Inc.,Replace Main,Street / Roadway:Sidewalk/Curb:AWSS:Bulb Out:Catch Basin:Sewer:Curb Ramp,2024-11-30T00:00:00.000,2026-02-15T00:00:00.000,APPROVED,6649000
24EXC-04102,11TH AVE,CLEMENT ST,GEARY BLVD,"Cratus, Inc.",Install New Main,Sidewalk/Curb:Electric:Water Service:Sewer,2025-01-02T00:00:00.000,2027-06-29T00:00:00.000,ACTIVE,495000
24EXC-02284,ANZA ST,35TH AVE,36TH AVE,Michael O'Shaugnessy Construction Inc.,Replace Main,Street / Roadway:Sidewalk/Curb:AWSS:Bulb Out:Catch Basin:Sewer:Curb Ramp,2024-11-30T00:00:00.000,2026-02-15T00:00:00.000,APPROVED,2351000
24EXC-01436,27TH ST,SANCHEZ ST,NOE ST,"Esquivel Grading & Paving, Inc.",Repair Sidewalk,Street / Roadway:Sidewalk/Curb:Sewer:Curb Ramp:Catch Basin,2024-06-03T00:00:00.000,2026-01-31T00:00:00.000,APPROVED,1567000
24EXC-00994,CLAY ST,GRANT AVE,WAVERLY PL,R & S Construction Management Inc,Install New Curb Ramp,Traffic Signal:Street Light:Street / Roadway:Sidewalk/Curb:Curb Ramp,2024-07-30T00:00:00.000,2025-12-31T00:00:00.000,APPROVED,4089000
25EXC-01908,04TH ST,BRANNAN ST,BLUXOME ST,Pacific Gas & Electric,Install New Main,Gas,2025-04-14T00:00:00.000,2025-05-13T00:00:00.000,ACTIVE,265000
24EXC-04102,GEARY BLVD,09TH AVE,10TH AVE,"Cratus, Inc.",Install New Main,Sidewalk/Curb:Electric:Water Service:Sewer,2025-01-02T00:00:00.000,2027-06-29T00:00:00.000,ACTIVE,6065101
24EXC-03388,JENNINGS ST,BURKE AVE,NEWHALL ST,"Esquivel Grading & Paving, Inc.",Corrosion Testing,Traffic Signal:Landscaping:Sewer:Catch Basin:Street / Roadway:Sidewalk/Curb:Electric:Curb Ramp,2025-01-13T00:00:00.000,2026-07-31T00:00:00.000,APPROVED,7470000
24EXC-02547,CALIFORNIA ST,WALNUT ST,LAUREL ST,"JDB Construction, INC.",Corrosion Testing,Street / Roadway:Sewer:Curb Ramp:Catch Basin:Sidewalk/Curb,2024-09-01T00:00:00.000,2026-02-02T00:00:00.000,APPROVED,3567000
25EXC-02103,IRVING ST,27TH AVE,28TH AVE,Pacific Gas & Electric,Spot Paving,Electric:Gas,2025-04-22T00:00:00.000,2025-05-20T00:00:00.000,APPROVED,7304000
23EXC-05094,SUNSET BLVD,ULLOA ST,VICENTE ST,R & S Construction Management Inc,Reconstruct Pavement,Traffic Signal:Street Light:Sewer:Catch Basin:Electric:Street / Roadway:Sidewalk/Curb:Curb Ramp,2024-01-02T00:00:00.000,2025-10-31T00:00:00.000,APPROVED,12287201
24EXC-00647,PACHECO ST,PACHECO ST,DEWEY BLVD,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sidewalk/Curb:Sewer:Curb Ramp,2024-05-14T00:00:00.000,2026-06-07T00:00:00.000,APPROVED,10074003
24EXC-04484,WILLARD ST NORTH,TURK BLVD \ WILLARD ST,GOLDEN GATE AVE \ WILLARD ST,Michael O'Shaugnessy Construction Inc.,Other,Street / Roadway:Sidewalk/Curb:Sewer:Curb Ramp:Catch Basin:Bulb Out,2025-02-10T00:00:00.000,2026-04-15T00:00:00.000,APPROVED,13647000
24EXC-00238,CLEVELAND ST,SHERMAN ST,,Mitchell Engineering. Inc.,Other,Catch Basin:Other:Traffic Signal:Landscaping:Street / Roadway:Electric:Curb Ramp:Sidewalk/Curb:Sewer,2024-04-01T00:00:00.000,2026-11-06T00:00:00.000,APPROVED,23927000
25EXC-00254,LARKIN ST,EDDY ST,WILLOW ST,R & S Construction Management Inc,Install New Curb Ramp,Electric:Sidewalk/Curb:Sewer:Curb Ramp,2025-03-03T00:00:00.000,2026-12-31T00:00:00.000,APPROVED,8126000
24EXC-02284,FELL ST,ASHBURY ST,CLAYTON ST,Michael O'Shaugnessy Construction Inc.,Replace Main,Street / Roadway:Sidewalk/Curb:AWSS:Bulb Out:Catch Basin:Sewer:Curb Ramp,2024-11-30T00:00:00.000,2026-02-15T00:00:00.000,APPROVED,5457000
24EXC-02547,CALIFORNIA ST,PRESIDIO AVE,WALNUT ST,"JDB Construction, INC.",Corrosion Testing,Street / Roadway:Sewer:Curb Ramp:Catch Basin:Sidewalk/Curb,2024-09-01T00:00:00.000,2026-02-02T00:00:00.000,APPROVED,3566000
24EXC-04102,GEARY BLVD,PALM AVE,,"Cratus, Inc.",Install New Main,Sidewalk/Curb:Electric:Water Service:Sewer,2025-01-02T00:00:00.000,2027-06-29T00:00:00.000,ACTIVE,27229000
24EXC-04022,SAN BRUNO AVE,WOOLSEY ST,,bsm - test 2,Replace Sidewalk,Curb Ramp:Catch Basin:Traffic Signal:Street / Roadway:Sidewalk/Curb:Curb Ramp:Catch Basin:Traffic Signal:Street / Roadway:Sidewalk/Curb:Sidewalk/Curb,2024-10-17T00:00:00.000,2025-10-17T00:00:00.000,APPROVED,33273000
24EXC-00238,FOLSOM ST,RODGERS ST,08TH ST,Mitchell Engineering. Inc.,Other,Catch Basin:Other:Traffic Signal:Landscaping:Street / Roadway:Electric:Curb Ramp:Sidewalk/Curb:Sewer,2024-04-01T00:00:00.000,2026-11-06T00:00:00.000,APPROVED,5677000
23EXC-02930,20TH ST,BRYANT ST,,"JMB Construction, Inc.",Replace Main,AWSS:Water Service:Sidewalk/Curb:Sewer:Street / Roadway,2023-08-18T00:00:00.000,2026-01-11T00:00:00.000,APPROVED,24008000
24EXC-01669,JERROLD AVE,EARL ST,DORMITORY RD \ NORTHRIDGE RD,"Esquivel Grading & Paving, Inc.",Reconstruct Pavement,Sidewalk/Curb:Street / Roadway:Sewer:Curb Ramp:Catch Basin,2024-07-22T00:00:00.000,2026-01-30T00:00:00.000,APPROVED,9706000
24EXC-00647,CALIFORNIA ST,VAN NESS AVE,FRANKLIN ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sidewalk/Curb:Sewer:Curb Ramp,2024-05-14T00:00:00.000,2026-06-07T00:00:00.000,APPROVED,3550000
24EXC-03498,EVANS AVE,SELBY ST,NAPOLEON ST \ TOLAND ST,Mitchell Engineering. Inc.,Install service,Sidewalk/Curb:Street / Roadway:Other:Electric:AWSS,2024-12-02T00:00:00.000,2026-06-05T00:00:00.000,APPROVED,5339000
23EXC-05094,37TH AVE,QUINTARA ST,RIVERA ST,R & S Construction Management Inc,Reconstruct Pavement,Traffic Signal:Street Light:Sewer:Catch Basin:Electric:Street / Roadway:Sidewalk/Curb:Curb Ramp,2024-01-02T00:00:00.000,2025-10-31T00:00:00.000,APPROVED,1835000
24EXC-02284,FREDERICK ST,DOWNEY ST,CLAYTON ST,Michael O'Shaugnessy Construction Inc.,Replace Main,Street / Roadway:Sidewalk/Curb:AWSS:Bulb Out:Catch Basin:Sewer:Curb Ramp,2024-11-30T00:00:00.000,2026-02-15T00:00:00.000,APPROVED,5849000
24EXC-04679,06TH ST,GOLDEN GATE AVE \ MARKET ST \ TAYLOR ST,STEVENSON ST,"Esquivel Grading & Paving, Inc.",Replace Sidewalk,Other:Street Light:Street / Roadway:Sidewalk/Curb:Landscaping:Sewer:Catch Basin:Electric:Bulb Out,2025-01-01T00:00:00.000,2025-12-31T00:00:00.000,APPROVED,326000
24EXC-01436,WHITNEY ST,30TH ST,RANDALL ST,"Esquivel Grading & Paving, Inc.",Repair Sidewalk,Street / Roadway:Sidewalk/Curb:Sewer:Curb Ramp:Catch Basin,2024-06-03T00:00:00.000,2026-01-31T00:00:00.000,APPROVED,13608000
24EXC-04484,PARK ST,MISSION ST,LEESE ST,Michael O'Shaugnessy Construction Inc.,Other,Street / Roadway:Sidewalk/Curb:Sewer:Curb Ramp:Catch Basin:Bulb Out,2025-02-10T00:00:00.000,2026-04-15T00:00:00.000,APPROVED,10261000
24EXC-00647,PACHECO ST,DORANTES AVE,DORANTES AVE \ MAGELLAN AVE,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sidewalk/Curb:Sewer:Curb Ramp,2024-05-14T00:00:00.000,2026-06-07T00:00:00.000,APPROVED,4920000
23EXC-02930,22ND ST,HAMPSHIRE ST,YORK ST,"JMB Construction, Inc.",Replace Main,AWSS:Water Service:Sidewalk/Curb:Sewer:Street / Roadway,2023-08-18T00:00:00.000,2026-01-11T00:00:00.000,APPROVED,1180000
24EXC-04484,LAUREL ST,SACRAMENTO ST,CALIFORNIA ST,Michael O'Shaugnessy Construction Inc.,Other,Street / Roadway:Sidewalk/Curb:Sewer:Curb Ramp:Catch Basin:Bulb Out,2025-02-10T00:00:00.000,2026-04-15T00:00:00.000,APPROVED,8173000
24EXC-00671,KIRKHAM ST,07TH AVE,08TH AVE,Bay Area Lightworks,Place Conduit,Sidewalk/Curb:Street Light:Traffic Signal:Bulb Out:Curb Ramp,2024-04-08T00:00:00.000,2026-04-07T00:00:00.000,APPROVED,7845000
24EXC-00647,42ND AVE,ULLOA ST,VICENTE ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sidewalk/Curb:Sewer:Curb Ramp,2024-05-14T00:00:00.000,2026-06-07T00:00:00.000,APPROVED,1945000
23EXC-05094,SUNSET BLVD,MARTIN LUTHER KING JR DR,IRVING ST,R & S Construction Management Inc,Reconstruct Pavement,Traffic Signal:Street Light:Sewer:Catch Basin:Electric:Street / Roadway:Sidewalk/Curb:Curb Ramp,2024-01-02T00:00:00.000,2025-10-31T00:00:00.000,APPROVED,12273101
24EXC-01872,NOE ST,14TH ST,HENRY ST,"Esquivel Grading & Paving, Inc.",Reconstruct Pavement,Curb Ramp:Sidewalk/Curb:Street / Roadway,2024-08-12T00:00:00.000,2025-08-08T00:00:00.000,APPROVED,9608000
24EXC-04102,29TH AVE,CLEMENT ST,GEARY BLVD,"Cratus, Inc.",Install New Main,Sidewalk/Curb:Electric:Water Service:Sewer,2025-01-02T00:00:00.000,2027-06-29T00:00:00.000,ACTIVE,1609000
25EXC-00254,LARKIN ST,TURK ST,EDDY ST,R & S Construction Management Inc,Install New Curb Ramp,Electric:Sidewalk/Curb:Sewer:Curb Ramp,2025-03-03T00:00:00.000,2026-12-31T00:00:00.000,APPROVED,8125000
24EXC-01436,MISSION ST,RICHLAND AVE,,"Esquivel Grading & Paving, Inc.",Repair Sidewalk,Street / Roadway:Sidewalk/Curb:Sewer:Curb Ramp:Catch Basin,2024-06-03T00:00:00.000,2026-01-31T00:00:00.000,APPROVED,21827000
24EXC-04484,JORDAN AVE,CALIFORNIA ST,EUCLID AVE,Michael O'Shaugnessy Construction Inc.,Other,Street / Roadway:Sidewalk/Curb:Sewer:Curb Ramp:Catch Basin:Bulb Out,2025-02-10T00:00:00.000,2026-04-15T00:00:00.000,APPROVED,7616000
24EXC-00647,PRESIDIO AVE,BUSH ST \ EUCLID AVE,SUTTER ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sidewalk/Curb:Sewer:Curb Ramp,2024-05-14T00:00:00.000,2026-06-07T00:00:00.000,APPROVED,10768000
23EXC-05094,SUNSET BLVD,OCEAN AVE,LAKE MERCED BLVD,R & S Construction Management Inc,Reconstruct Pavement,Traffic Signal:Street Light:Sewer:Catch Basin:Electric:Street / Roadway:Sidewalk/Curb:Curb Ramp,2024-01-02T00:00:00.000,2025-10-31T00:00:00.000,APPROVED,12290101
24EXC-00647,ORTEGA ST,16TH AVE,17TH AVE,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sidewalk/Curb:Sewer:Curb Ramp,2024-05-14T00:00:00.000,2026-06-07T00:00:00.000,APPROVED,10003000
24EXC-00647,CALIFORNIA ST,PIERCE ST,,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sidewalk/Curb:Sewer:Curb Ramp,2024-05-14T00:00:00.000,2026-06-07T00:00:00.000,APPROVED,26640000
24EXC-03498,RANKIN ST,DAVIDSON AVE,EVANS AVE,Mitchell Engineering. Inc.,Install service,Sidewalk/Curb:Street / Roadway:Other:Electric:AWSS,2024-12-02T00:00:00.000,2026-06-05T00:00:00.000,APPROVED,10927000
24EXC-00238,03RD ST,CLEMENTINA ST,,Mitchell Engineering. Inc.,Other,Catch Basin:Other:Traffic Signal:Landscaping:Street / Roadway:Electric:Curb Ramp:Sidewalk/Curb:Sewer,2024-04-01T00:00:00.000,2026-11-06T00:00:00.000,APPROVED,24587000
24EXC-01872,14TH AVE,LAKE ST,CALIFORNIA ST,"Esquivel Grading & Paving, Inc.",Reconstruct Pavement,Curb Ramp:Sidewalk/Curb:Street / Roadway,2024-08-12T00:00:00.000,2025-08-08T00:00:00.000,APPROVED,553000
24EXC-04679,MINNA ST,MARY ST,06TH ST,"Esquivel Grading & Paving, Inc.",Replace Sidewalk,Other:Street Light:Street / Roadway:Sidewalk/Curb:Landscaping:Sewer:Catch Basin:Electric:Bulb Out,2025-01-01T00:00:00.000,2025-12-31T00:00:00.000,APPROVED,9044000
25EXC-01096,CHAPMAN ST,PRENTISS ST,BANKS ST,Pacific Gas & Electric,Other,Gas,2025-05-05T00:00:00.000,2025-06-02T00:00:00.000,ACTIVE,3895000
23EXC-01009,GOLDEN GATE AVE,LAGUNA ST,,Bay Area Lightworks,Place Conduit,Sidewalk/Curb:Traffic Signal:Street Light:Curb Ramp,2023-06-19T00:00:00.000,2025-06-17T00:00:00.000,APPROVED,25959000
24EXC-02284,16TH ST,SOUTH VAN NESS AVE,CAPP ST,Michael O'Shaugnessy Construction Inc.,Replace Main,Street / Roadway:Sidewalk/Curb:AWSS:Bulb Out:Catch Basin:Sewer:Curb Ramp,2024-11-30T00:00:00.000,2026-02-15T00:00:00.000,APPROVED,723000
24EXC-04370,ODD FELLOWS WAY,END: 600-699 BLOCK,,"Esquivel Grading & Paving, Inc.",Pavement Preservation,Traffic Signal:Sewer:Sidewalk/Curb:Electric:Landscaping:Curb Ramp:Bulb Out,2024-12-05T00:00:00.000,2025-12-04T00:00:00.000,APPROVED,50380000
24EXC-04102,GEARY BLVD,06TH AVE,07TH AVE,"Cratus, Inc.",Install New Main,Sidewalk/Curb:Electric:Water Service:Sewer,2025-01-02T00:00:00.000,2027-06-29T00:00:00.000,ACTIVE,6062201
24EXC-04484,WALLER ST,CENTRAL AVE,MASONIC AVE,Michael O'Shaugnessy Construction Inc.,Other,Street / Roadway:Sidewalk/Curb:Sewer:Curb Ramp:Catch Basin:Bulb Out,2025-02-10T00:00:00.000,2026-04-15T00:00:00.000,APPROVED,13372000
24EXC-01436,NOE ST,DUNCAN ST,28TH ST,"Esquivel Grading & Paving, Inc.",Repair Sidewalk,Street / Roadway:Sidewalk/Curb:Sewer:Curb Ramp:Catch Basin,2024-06-03T00:00:00.000,2026-01-31T00:00:00.000,APPROVED,9635000
24EXC-02547,FRANKLIN ST,PETER YORKE WAY \ POST ST,DANIEL BURNHAM CT,"JDB Construction, INC.",Corrosion Testing,Street / Roadway:Sewer:Curb Ramp:Catch Basin:Sidewalk/Curb,2024-09-01T00:00:00.000,2026-02-02T00:00:00.000,APPROVED,5819000
23EXC-05094,OCEAN AVE,SUNSET BLVD,,R & S Construction Management Inc,Reconstruct Pavement,Traffic Signal:Street Light:Sewer:Catch Basin:Electric:Street / Roadway:Sidewalk/Curb:Curb Ramp,2024-01-02T00:00:00.000,2025-10-31T00:00:00.000,APPROVED,23313000
24EXC-00647,ULLOA ST,46TH AVE,47TH AVE,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sidewalk/Curb:Sewer:Curb Ramp,2024-05-14T00:00:00.000,2026-06-07T00:00:00.000,APPROVED,12824000
23EXC-02930,YORK ST,23RD ST,24TH ST,"JMB Construction, Inc.",Replace Main,AWSS:Water Service:Sidewalk/Curb:Sewer:Street / Roadway,2023-08-18T00:00:00.000,2026-01-11T00:00:00.000,APPROVED,13772000
24EXC-03293,06TH AVE,FULTON ST,,Ronan Construction Inc.,Other,Street / Roadway:Sidewalk/Curb:Traffic Signal:Sewer:Curb Ramp,2024-10-07T00:00:00.000,2025-08-03T00:00:00.000,APPROVED,27255000
24EXC-04808,01ST ST,BUSH ST \ MARKET ST,,R & S Construction Management Inc,Install New Curb Ramp,Curb Ramp:Bulb Out:AWSS:Air Raid Siren:Traffic Signal:Street Light:Street / Roadway:Sidewalk/Curb:Sewer:Catch Basin,2025-02-24T00:00:00.000,2027-07-08T00:00:00.000,APPROVED,30731000
25EXC-00254,01ST ST,LANSING ST,HARRISON ST \ I-80 E ON RAMP,R & S Construction Management Inc,Install New Curb Ramp,Electric:Sidewalk/Curb:Sewer:Curb Ramp,2025-03-03T00:00:00.000,2026-12-31T00:00:00.000,APPROVED,113000
23EXC-02930,25TH ST,CESAR CHAVEZ ON RAMP \ POTRERO AVE,HAMPSHIRE ST,"JMB Construction, Inc.",Replace Main,AWSS:Water Service:Sidewalk/Curb:Sewer:Street / Roadway,2023-08-18T00:00:00.000,2026-01-11T00:00:00.000,APPROVED,1423000
24EXC-03388,CRESPI DR,CARDENAS AVE,JUAN BAUTISTA CIR,"Esquivel Grading & Paving, Inc.",Corrosion Testing,Traffic Signal:Landscaping:Sewer:Catch Basin:Street / Roadway:Sidewalk/Curb:Electric:Curb Ramp,2025-01-13T00:00:00.000,2026-07-31T00:00:00.000,APPROVED,4507201
24EXC-03388,14TH AVE,LAKE ST,,"Esquivel Grading & Paving, Inc.",Corrosion Testing,Traffic Signal:Landscaping:Sewer:Catch Basin:Street / Roadway:Sidewalk/Curb:Electric:Curb Ramp,2025-01-13T00:00:00.000,2026-07-31T00:00:00.000,APPROVED,27622000
24EXC-00647,MASONIC AVE,GEARY BLVD,ANZA ST \ OFARRELL ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sidewalk/Curb:Sewer:Curb Ramp,2024-05-14T00:00:00.000,2026-06-07T00:00:00.000,APPROVED,8843201
25EXC-01096,FOLSOM ST,EUGENIA AVE,CORTLAND AVE,Pacific Gas & Electric,Other,Gas,2025-05-05T00:00:00.000,2025-06-02T00:00:00.000,ACTIVE,5710000
25EXC-01096,BRADFORD ST,ESMERALDA AVE \ PERALTA AVE,,Pacific Gas & Electric,Other,Gas,2025-05-05T00:00:00.000,2025-06-02T00:00:00.000,ACTIVE,21105000
24EXC-02284,CAPP ST,ADAIR ST,16TH ST,Michael O'Shaugnessy Construction Inc.,Replace Main,Street / Roadway:Sidewalk/Curb:AWSS:Bulb Out:Catch Basin:Sewer:Curb Ramp,2024-11-30T00:00:00.000,2026-02-15T00:00:00.000,APPROVED,3672000
24EXC-01436,DIAMOND ST,CESAR CHAVEZ ST,27TH ST,"Esquivel Grading & Paving, Inc.",Repair Sidewalk,Street / Roadway:Sidewalk/Curb:Sewer:Curb Ramp:Catch Basin,2024-06-03T00:00:00.000,2026-01-31T00:00:00.000,APPROVED,4751000
24EXC-00671,03RD ST,CARROLL AVE,,Bay Area Lightworks,Place Conduit,Sidewalk/Curb:Street Light:Traffic Signal:Bulb Out:Curb Ramp,2024-04-08T00:00:00.000,2026-04-07T00:00:00.000,APPROVED,20489000
24EXC-00647,ULLOA ST,18TH AVE,19TH AVE,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sidewalk/Curb:Sewer:Curb Ramp,2024-05-14T00:00:00.000,2026-06-07T00:00:00.000,APPROVED,12795000
24EXC-04484,WILLARD ST NORTH,EDWARD ST \ WILLARD ST,TURK BLVD \ WILLARD ST,Michael O'Shaugnessy Construction Inc.,Other,Street / Roadway:Sidewalk/Curb:Sewer:Curb Ramp:Catch Basin:Bulb Out,2025-02-10T00:00:00.000,2026-04-15T00:00:00.000,APPROVED,13646000
24EXC-02547,14TH AVE,BALBOA ST,CABRILLO ST,"JDB Construction, INC.",Corrosion Testing,Street / Roadway:Sewer:Curb Ramp:Catch Basin:Sidewalk/Curb,2024-09-01T00:00:00.000,2026-02-02T00:00:00.000,APPROVED,558000
24EXC-02284,CABRILLO ST,35TH AVE,36TH AVE,Michael O'Shaugnessy Construction Inc.,Replace Main,Street / Roadway:Sidewalk/Curb:AWSS:Bulb Out:Catch Basin:Sewer:Curb Ramp,2024-11-30T00:00:00.000,2026-02-15T00:00:00.000,APPROVED,3502000
23EXC-02930,17TH ST,HAMPSHIRE ST,BRYANT ST,"JMB Construction, Inc.",Replace Main,AWSS:Water Service:Sidewalk/Curb:Sewer:Street / Roadway,2023-08-18T00:00:00.000,2026-01-11T00:00:00.000,APPROVED,787000
24EXC-04102,GEARY BLVD,FUNSTON AVE,PARK PRESIDIO BLVD,"Cratus, Inc.",Install New Main,Sidewalk/Curb:Electric:Water Service:Sewer,2025-01-02T00:00:00.000,2027-06-29T00:00:00.000,ACTIVE,6069101
24EXC-01669,03RD ST,NEWCOMB AVE,OAKDALE AVE,"Esquivel Grading & Paving, Inc.",Reconstruct Pavement,Sidewalk/Curb:Street / Roadway:Sewer:Curb Ramp:Catch Basin,2024-07-22T00:00:00.000,2026-01-30T00:00:00.000,APPROVED,211201
24EXC-04484,PARKER AVE,TURK BLVD,GOLDEN GATE AVE,Michael O'Shaugnessy Construction Inc.,Other,Street / Roadway:Sidewalk/Curb:Sewer:Curb Ramp:Catch Basin:Bulb Out,2025-02-10T00:00:00.000,2026-04-15T00:00:00.000,APPROVED,10278000
24EXC-00647,CALIFORNIA ST,PIERCE ST,SCOTT ST,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sidewalk/Curb:Sewer:Curb Ramp,2024-05-14T00:00:00.000,2026-06-07T00:00:00.000,APPROVED,3560000
24EXC-04970,29TH ST,TIFFANY AVE,,"Bauman Landscape Construction, Inc.",Replace Sidewalk,Water Service:Pavement Preservation:Sewer:Catch Basin:Curb Ramp:Sidewalk/Curb:AWSS,2025-01-13T00:00:00.000,2025-09-09T00:00:00.000,APPROVED,21333000
24EXC-02284,LA PLAYA,BALBOA ST,CABRILLO ST,Michael O'Shaugnessy Construction Inc.,Replace Main,Street / Roadway:Sidewalk/Curb:AWSS:Bulb Out:Catch Basin:Sewer:Curb Ramp,2024-11-30T00:00:00.000,2026-02-15T00:00:00.000,APPROVED,7920000
24EXC-04102,GEARY BLVD,31ST AVE,32ND AVE,"Cratus, Inc.",Install New Main,Sidewalk/Curb:Electric:Water Service:Sewer,2025-01-02T00:00:00.000,2027-06-29T00:00:00.000,ACTIVE,6088201
25EXC-00745,MISSION ST,HWY 101 NORTHBOUND RAMP,13TH ST \ DUBOCE AVE \ HWY 101 NORTHBOUND RAMP \ OTIS ST,"NTK Construction, Inc",Other,Street Light:Street / Roadway:Catch Basin:Traffic Signal:Sidewalk/Curb:Sewer:Curb Ramp:Bulb Out,2025-03-10T00:00:00.000,2027-01-31T00:00:00.000,APPROVED,9111001
24EXC-04484,CALIFORNIA ST,JORDAN AVE,PALM AVE,Michael O'Shaugnessy Construction Inc.,Other,Street / Roadway:Sidewalk/Curb:Sewer:Curb Ramp:Catch Basin:Bulb Out,2025-02-10T00:00:00.000,2026-04-15T00:00:00.000,APPROVED,3575000
24EXC-04874,ELLIS ST,POWELL ST,CYRIL MAGNIN ST,Bay Area Lightworks,Place Conduit,Street Light:Traffic Signal:Curb Ramp,2025-01-06T00:00:00.000,2026-05-31T00:00:00.000,APPROVED,5170000
24EXC-02284,CAPP ST,16TH ST,17TH ST,Michael O'Shaugnessy Construction Inc.,Replace Main,Street / Roadway:Sidewalk/Curb:AWSS:Bulb Out:Catch Basin:Sewer:Curb Ramp,2024-11-30T00:00:00.000,2026-02-15T00:00:00.000,APPROVED,3673000
24EXC-04970,14TH ST,ALPINE TER \ ROOSEVELT WAY,BUENA VISTA TER,"Bauman Landscape Construction, Inc.",Replace Sidewalk,Water Service:Pavement Preservation:Sewer:Catch Basin:Curb Ramp:Sidewalk/Curb:AWSS,2025-01-13T00:00:00.000,2025-09-09T00:00:00.000,APPROVED,603000
24EXC-04970,MASONIC AVE,JAVA ST,PIEDMONT ST,"Bauman Landscape Construction, Inc.",Replace Sidewalk,Water Service:Pavement Preservation:Sewer:Catch Basin:Curb Ramp:Sidewalk/Curb:AWSS,2025-01-13T00:00:00.000,2025-09-09T00:00:00.000,APPROVED,8858000
24EXC-00647,CLAY ST,WEBSTER ST,GOLDBERG LN,"Precision Engineering, Inc.",Corrosion Testing,Street / Roadway:Sidewalk/Curb:Sewer:Curb Ramp,2024-05-14T00:00:00.000,2026-06-07T00:00:00.000,APPROVED,4110000
24EXC-04102,GEARY BLVD,32ND AVE,33RD AVE,"Cratus, Inc.",Install New Main,Sidewalk/Curb:Electric:Water Service:Sewer,2025-01-02T00:00:00.000,2027-06-29T00:00:00.000,ACTIVE,6089101
25EXC-01454,29TH AVE,ULLOA ST,,Exaro Technologies Corporation,Prospecting,Sewer:Water Service,2025-04-28T00:00:00.000,2025-05-09T00:00:00.000,APPROVED,23258000
25EXC-01096,ALABAMA ST,ESMERALDA AVE \ WALTHAM ST,,Pacific Gas & Electric,Other,Gas,2025-05-05T00:00:00.000,2025-06-02T00:00:00.000,ACTIVE,21111000
24EXC-01990,TAYLOR ST,OPAL PL,TURK ST,"Esquivel Grading & Paving, Inc.",Install New Curb Ramp,AWSS:Street / Roadway:Street Light:Traffic Signal:Pavement Preservation:Sewer:Landscaping:Electric:Bulb Out:Curb Ramp,2024-06-11T00:00:00.000,2025-06-13T00:00:00.000,APPROVED,12426000
24EXC-02284,NATOMA ST,11TH ST,LAFAYETTE ST,Michael O'Shaugnessy Construction Inc.,Replace Main,Street / Roadway:Sidewalk/Curb:AWSS:Bulb Out:Catch Basin:Sewer:Curb Ramp,2024-11-30T00:00:00.000,2026-02-15T00:00:00.000,APPROVED,9517000
23EXC-01852,GRAFTON AVE,GRANADA AVE,,Pacific Gas & Electric,Replace Main,Gas,2025-06-02T00:00:00.000,2025-10-24T00:00:00.000,APPROVED,22578000
23EXC-05094,SUNSET BLVD,VICENTE ST,WAWONA ST,R & S Construction Management Inc,Reconstruct Pavement,Traffic Signal:Street Light:Sewer:Catch Basin:Electric:Street / Roadway:Sidewalk/Curb:Curb Ramp,2024-01-02T00:00:00.000,2025-10-31T00:00:00.000,APPROVED,12288201
24EXC-01669,26TH ST,MINNESOTA ST,INDIANA ST,"Esquivel Grading & Paving, Inc.",Reconstruct Pavement,Sidewalk/Curb:Street / Roadway:Sewer:Curb Ramp:Catch Basin,2024-07-22T00:00:00.000,2026-01-30T00:00:00.000,APPROVED,1500000
24EXC-00671,DOLORES ST,CUMBERLAND ST,20TH ST,Bay Area Lightworks,Place Conduit,Sidewalk/Curb:Street Light:Traffic Signal:Bulb Out:Curb Ramp,2024-04-08T00:00:00.000,2026-04-07T00:00:00.000,APPROVED,4872201
24EXC-04484,COLLEGE AVE,SAINT MARYS AVE,CRESCENT AVE \ MISSION ST,Michael O'Shaugnessy Construction Inc.,Other,Street / Roadway:Sidewalk/Curb:Sewer:Curb Ramp:Catch Basin:Bulb Out,2025-02-10T00:00:00.000,2026-04-15T00:00:00.000,APPROVED,4263000
24EXC-01872,DUBOCE AVE,SCOTT ST,CASTRO ST,"Esquivel Grading & Paving, Inc.",Reconstruct Pavement,Curb Ramp:Sidewalk/Curb:Street / Roadway,2024-08-12T00:00:00.000,2025-08-08T00:00:00.000,APPROVED,4992000
